Site,Genus,Species,Photosynthesis pathway,Taxa,Code,Block,Plot,Treatment,N_added,P_added,LOG_GS,GS,Stand_MAT,Stand_MAP,Lifeform_2,Lifeform,SQRT_Amax,SQRT_E,Amax,E (mmol m-2 s-1),SQT_E in mmol,E (mol m-2 s-1),Instant_WUE,WUE,SQRT_StomataDensity,Stomata_Density,Stomata_Size_avg,C_PerCell mg,N_PerCell mg,P_PerCell mg,SQRT_C_percell in mg,SQRT_N_perCell in mg,SQRT_P_perCell in mg,N_PerCell in ng,Sqrt N per Cell in ng,SQRT C per Cell in ng,SQRT_ P per cell in ng,MAT_v2,MAP_v2
cbgb.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,29,N,N_YES,P_NO,3.102162217,21.246,-0.247746222,-0.161896717,allforb,FORB,1.426478767,0.031401783,2.034841673,0.986072,0.993011581,0.000986072,2.063583261,2063.583261,,,,,,,,,,,,,,9.258333459,871
cbgb.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,21,NP,N_YES,P_YES,3.102162217,21.246,-0.247746222,-0.161896717,allforb,FORB,2.377754292,0.035503986,5.653715473,1.260533,1.122734608,0.001260533,4.485178471,4485.178471,,,,,,,,,,,,,,9.258333459,871
cbgb.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,24,C,N_NO,P_NO,3.102162217,21.246,-0.247746222,-0.161896717,allforb,FORB,2.857930763,0.041118317,8.167768244,1.690716,1.300275355,0.001690716,4.830952238,4830.952238,,,,,,,,,,,,,,9.258333459,871
cbgb.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,32,P,N_NO,P_YES,3.102162217,21.246,-0.247746222,-0.161896717,allforb,FORB,3.0753164,0.063315456,9.457570962,4.008847,2.002210528,0.004008847,2.359174836,2359.174836,,,,,,,,,,,,,,9.258333459,871
cbgb.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,25,NP,N_YES,P_YES,3.102162217,21.246,-0.247746222,-0.161896717,allforb,FORB,3.338665976,0.083943487,11.1466905,7.046509,2.654526135,0.007046509,1.581874159,1581.874159,,,,,,,,,,,,,,9.258333459,871
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,26,C,N_NO,P_NO,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,1.457136221,0.027584815,2.123245966,0.760922,0.872308432,0.000760922,2.790359545,2790.359545,,,,0.000238236,6.43058E-06,9.31099E-07,0.015434903,0.002535858,0.000964935,6.430575916,2.535858024,15.43490299,0.96493496,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,13,C,N_NO,P_NO,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,1.539166847,0.068815819,2.369034583,4.735617,2.176147284,0.004735617,0.500258907,500.2589067,,,,0.000238236,6.43058E-06,9.31099E-07,0.015434903,0.002535858,0.000964935,6.430575916,2.535858024,15.43490299,0.96493496,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,31,P,N_NO,P_YES,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,1.768690893,0.027937233,3.128267476,0.780489,0.883452885,0.000780489,4.008086566,4008.086566,,,,0.000241972,6.6266E-06,1.57906E-06,0.015555434,0.002574218,0.001256606,6.626596859,2.574217718,15.55543372,1.256605583,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,19,P,N_NO,P_YES,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,1.842170401,0.037168078,3.393591786,1.381466,1.175357818,0.001381466,2.456514881,2456.514881,,,,0.000241972,6.6266E-06,1.57906E-06,0.015555434,0.002574218,0.001256606,6.626596859,2.574217718,15.55543372,1.256605583,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,1,11,C,N_NO,P_NO,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,2.27008521,0.06675097,5.153286862,4.455692,2.110851013,0.004455692,1.156562631,1156.562631,,,,0.000238236,6.43058E-06,9.31099E-07,0.015434903,0.002535858,0.000964935,6.430575916,2.535858024,15.43490299,0.96493496,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,1,2,NP,N_YES,P_YES,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,2.371936407,0.060843332,5.626082319,3.701911,1.924035083,0.003701911,1.519777844,1519.777844,,,,0.000246992,9.21298E-06,2.12356E-06,0.015715974,0.00303529,0.001457244,9.212984293,3.03528982,15.7159738,1.457244046,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,16,NP,N_YES,P_YES,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,2.951698301,0.046939525,8.71252286,2.203319,1.48435811,0.002203319,3.954272105,3954.272105,,,,0.000246992,9.21298E-06,2.12356E-06,0.015715974,0.00303529,0.001457244,9.212984293,3.03528982,15.7159738,1.457244046,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,24,N,N_YES,P_NO,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,4.209585094,0.085364817,17.72060666,7.287152,2.699472541,0.007287152,2.431760262,2431.760262,,,,0.000247678,8.31455E-06,8.92984E-07,0.015737786,0.002883497,0.000944978,8.314554974,2.883497004,15.73778592,0.944978462,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,1,8,P,N_NO,P_YES,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,4.417489284,0.135791336,19.51421157,18.439287,4.294099091,0.018439287,1.058295344,1058.295344,,,,0.000241972,6.6266E-06,1.57906E-06,0.015555434,0.002574218,0.001256606,6.626596859,2.574217718,15.55543372,1.256605583,6.337500023,740
cdcr.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,32,N,N_YES,P_NO,2.451005098,10.6,-0.853471586,-1.185753888,allforb,FORB,4.727701132,0.104411451,22.35115799,10.901751,3.301779974,0.010901751,2.050235599,2050.235599,,,,0.000247678,8.31455E-06,8.92984E-07,0.015737786,0.002883497,0.000944978,8.314554974,2.883497004,15.73778592,0.944978462,6.337500023,740
churn.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,17,N,N_YES,P_NO,2.449797473,10.586,-1.167135345,-0.638654636,allforb,FORB,3.507207319,0.142412384,12.30050318,20.281287,4.503474992,0.020281287,0.606495198,606.4951983,,,,0.000209572,6.77832E-06,,0.014476588,0.00260352,,6.778317757,2.603520262,14.47658761,,4.825000058,810
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,6,P,N_NO,P_YES,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,0.516025403,0.036115551,0.266282217,1.304333,1.142073991,0.001304333,0.20415202,204.1520202,,,,0.000246373,1.04322E-05,1.90604E-06,0.015696278,0.003229894,0.001380594,10.43221477,3.229893925,15.69627836,1.380594172,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,1,3,C,N_NO,P_NO,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,0.994894984,0.040633718,0.98981603,1.651099,1.284950972,0.001651099,0.599489207,599.4892069,,,,0.00024575,8.25235E-06,1.02013E-06,0.015676426,0.00287269,0.001010017,8.252348993,2.872690201,15.67642611,1.010016945,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,3,C,N_NO,P_NO,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,1.128399306,0.042182449,1.273284994,1.779359,1.33392616,0.001779359,0.71558634,715.5863398,,,,0.00024575,8.25235E-06,1.02013E-06,0.015676426,0.00287269,0.001010017,8.252348993,2.872690201,15.67642611,1.010016945,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,1,N,N_YES,P_NO,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,1.520406684,0.032817038,2.311636484,1.076958,1.03776587,0.001076958,2.146449986,2146.449986,,,,0.0002472,1.10067E-05,9.87919E-07,0.015722595,0.003317636,0.000993941,11.00671141,3.317636419,15.72259521,0.993941378,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,9,N,N_YES,P_NO,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,1.818218208,0.079874495,3.305917453,6.379935,2.525853321,0.006379935,0.518174159,518.174159,,,,0.0002472,1.10067E-05,9.87919E-07,0.015722595,0.003317636,0.000993941,11.00671141,3.317636419,15.72259521,0.993941378,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,1,6,NP,N_YES,P_YES,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,2.360309599,0.067086742,5.571061401,4.500631,2.121469066,0.004500631,1.237840072,1237.840072,,,,0.000244499,9.87919E-06,1.42282E-06,0.015636474,0.003143119,0.00119282,9.879194631,3.143118615,15.63647431,1.192819681,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,1,1,P,N_NO,P_YES,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,2.710740307,0.089417174,7.348113012,7.995431,2.827619317,0.007995431,0.919039013,919.0390127,,,,0.000246373,1.04322E-05,1.90604E-06,0.015696278,0.003229894,0.001380594,10.43221477,3.229893925,15.69627836,1.380594172,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,2,P,N_NO,P_YES,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,3.40275666,0.088525573,11.57875289,7.836777,2.799424405,0.007836777,1.477489137,1477.489137,,,,0.000246373,1.04322E-05,1.90604E-06,0.015696278,0.003229894,0.001380594,10.43221477,3.229893925,15.69627836,1.380594172,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,2,4,NP,N_YES,P_YES,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,3.844950515,0.098440606,14.78364446,9.690553,3.112965307,0.009690553,1.52557284,1525.57284,,,,0.000244499,9.87919E-06,1.42282E-06,0.015636474,0.003143119,0.00119282,9.879194631,3.143118615,15.63647431,1.192819681,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,8,C,N_NO,P_NO,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,4.120611604,0.096936567,16.97943999,9.396698,3.065403399,0.009396698,1.806958145,1806.958145,,,,0.00024575,8.25235E-06,1.02013E-06,0.015676426,0.00287269,0.001010017,8.252348993,2.872690201,15.67642611,1.010016945,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,5,NP,N_YES,P_YES,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,4.698583072,0.079176594,22.07668288,6.268933,2.503783737,0.006268933,3.521601344,3521.601344,,,,0.000244499,9.87919E-06,1.42282E-06,0.015636474,0.003143119,0.00119282,9.879194631,3.143118615,15.63647431,1.192819681,8.795833436,903
cdcr.us,Ambrosia,artemisiifolia,C3,Ambrosia_artemisiifolia,AMAR,2,24,N,N_YES,P_NO,1.22729863,2.412,-0.853471586,-1.185753888,allforb,FORB,6.175292192,0.175550545,38.13423366,30.817994,5.55139568,0.030817994,1.237401554,1237.401554,39.68626967,1575,20.875,5.7063E-05,2.51215E-06,,0.007554006,0.001584976,,2.512149533,1.584976193,7.554006316,,6.337500023,740
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,3,25,N,N_YES,P_NO,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,1.523724756,0.066972793,2.321737133,4.485355,2.117865671,0.004485355,0.517626171,517.6261707,,,,7.43219E-05,5.7548E-06,2.01229E-07,0.008621015,0.002398916,0.000448586,5.754799054,2.398916225,8.621014514,0.448585905,12.07500006,889
